State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ALAMEIN,3147.0,Higgins,,ASHBURTON
VIC,ARMADALE,3143.0,Higgins,,
VIC,ASHBURTON,3147.0,Higgins,,
VIC,CAMBERWELL,3124.0,Higgins,,
VIC,CARNEGIE,3163.0,Higgins,,
VIC,CENTRAL PARK,3145.0,Higgins,,MALVERN EAST
VIC,DARLING,3145.0,Higgins,,MALVERN EAST
VIC,GLEN IRIS,3146.0,Higgins,,
VIC,HAWKSBURN,3142.0,Higgins,,TOORAK
VIC,HAWTHORN EAST,3123.0,Higgins,,
VIC,HEYINGTON,3142.0,Higgins,,TOORAK
VIC,HUGHESDALE,3166.0,Higgins,,
VIC,KOOYONG,3144.0,Higgins,,
VIC,MALVERN,3144.0,Higgins,,
VIC,MALVERN EAST,3145.0,Higgins,,
VIC,MURRUMBEENA,3163.0,Higgins,,
VIC,ORMOND,3204.0,Higgins,,
VIC,PRAHRAN,3181.0,Higgins,,
VIC,RIVERSDALE,3124.0,Higgins,,CAMBERWELL
VIC,SOUTH YARRA,3141.0,Higgins,,
12,12,12.0,12,12.0,12
1,2,,,,
VIC,STOCKSVILLE,3147.0,Higgins,,ASHBURTON
VIC,TOORAK,3142.0,Higgins,,
VIC,TOORONGA,3144.0,Higgins,,MALVERN
12,12,12.0,12,12.0,12
1,2,,,,
